backend,knot_points,sqp_budget_us,test_iters,tol_index,pcg_exit_tol,linsys_time_us
hip-nvidia,128,5000,1,2,0.0001,930.053
hip-nvidia,128,5000,1,2,0.0001,216.214
hip-nvidia,128,5000,1,2,0.0001,357.365
hip-nvidia,128,5000,1,2,0.0001,187.734
hip-nvidia,128,5000,1,2,0.0001,166.592
hip-nvidia,128,5000,1,2,0.0001,296.856
hip-nvidia,128,5000,1,2,0.0001,175.328
hip-nvidia,128,5000,1,2,0.0001,285.981
hip-nvidia,128,5000,1,2,0.0001,240.124
hip-nvidia,128,5000,1,2,0.0001,196.569
hip-nvidia,128,5000,1,2,0.0001,197.383
hip-nvidia,128,5000,1,2,0.0001,201.561
hip-nvidia,128,5000,1,2,0.0001,201.008
hip-nvidia,128,5000,1,2,0.0001,197.763
hip-nvidia,128,5000,1,2,0.0001,198.469
hip-nvidia,128,5000,1,2,0.0001,200.617
hip-nvidia,128,5000,1,2,0.0001,198.881
hip-nvidia,128,5000,1,2,0.0001,197.806
hip-nvidia,128,5000,1,2,0.0001,206.272
hip-nvidia,128,5000,1,2,0.0001,196.949
hip-nvidia,128,5000,1,2,0.0001,197.838
hip-nvidia,128,5000,1,2,0.0001,453.918
hip-nvidia,128,5000,1,2,0.0001,642.358
hip-nvidia,128,5000,1,2,0.0001,211.916
hip-nvidia,128,5000,1,2,0.0001,357.278
hip-nvidia,128,5000,1,2,0.0001,382.74
hip-nvidia,128,5000,1,2,0.0001,220.924
hip-nvidia,128,5000,1,2,0.0001,149.204
hip-nvidia,128,5000,1,2,0.0001,231.485
hip-nvidia,128,5000,1,2,0.0001,143.245
hip-nvidia,128,5000,1,2,0.0001,186.041
hip-nvidia,128,5000,1,2,0.0001,180.05
hip-nvidia,128,5000,1,2,0.0001,162.793
hip-nvidia,128,5000,1,2,0.0001,141.248
hip-nvidia,128,5000,1,2,0.0001,736.577
hip-nvidia,128,5000,1,2,0.0001,637.213
hip-nvidia,128,5000,1,2,0.0001,407.66
hip-nvidia,128,5000,1,2,0.0001,203.624
hip-nvidia,128,5000,1,2,0.0001,203.624
hip-nvidia,128,5000,1,2,0.0001,206.24
hip-nvidia,128,5000,1,2,0.0001,204.296
hip-nvidia,128,5000,1,2,0.0001,201.627
hip-nvidia,128,5000,1,2,0.0001,953.225
hip-nvidia,128,5000,1,2,0.0001,848.228
hip-nvidia,128,5000,1,2,0.0001,963.851
hip-nvidia,128,5000,1,2,0.0001,559.913
hip-nvidia,128,5000,1,2,0.0001,364.007
hip-nvidia,128,5000,1,2,0.0001,368.414
hip-nvidia,128,5000,1,2,0.0001,221.174
hip-nvidia,128,5000,1,2,0.0001,195.993
hip-nvidia,128,5000,1,2,0.0001,356.355
hip-nvidia,128,5000,1,2,0.0001,215.378
hip-nvidia,128,5000,1,2,0.0001,199.879
hip-nvidia,128,5000,1,2,0.0001,206.403
hip-nvidia,128,5000,1,2,0.0001,199.261
hip-nvidia,128,5000,1,2,0.0001,220.544
hip-nvidia,128,5000,1,2,0.0001,833.445
hip-nvidia,128,5000,1,2,0.0001,897.535
hip-nvidia,128,5000,1,2,0.0001,200.139
hip-nvidia,128,5000,1,2,0.0001,223.052
hip-nvidia,128,5000,1,2,0.0001,718.918
hip-nvidia,128,5000,1,2,0.0001,183.686
hip-nvidia,128,5000,1,2,0.0001,812.932
hip-nvidia,128,5000,1,2,0.0001,579.548
hip-nvidia,128,5000,1,2,0.0001,161.783
hip-nvidia,128,5000,1,2,0.0001,1091.14
hip-nvidia,128,5000,1,2,0.0001,677.577
hip-nvidia,128,5000,1,2,0.0001,385.876
hip-nvidia,128,5000,1,2,0.0001,1105.02
hip-nvidia,128,5000,1,2,0.0001,1102.22
hip-nvidia,128,5000,1,2,0.0001,1398.09
hip-nvidia,128,5000,1,2,0.0001,1078.12
hip-nvidia,128,5000,1,2,0.0001,835.453
hip-nvidia,128,5000,1,2,0.0001,178.444
hip-nvidia,128,5000,1,2,0.0001,685.349
hip-nvidia,128,5000,1,2,0.0001,435.108
hip-nvidia,128,5000,1,2,0.0001,295.89
hip-nvidia,128,5000,1,2,0.0001,1107.5
hip-nvidia,128,5000,1,2,0.0001,695.691
hip-nvidia,128,5000,1,2,0.0001,866.776
hip-nvidia,128,5000,1,2,0.0001,1263.15
hip-nvidia,128,5000,1,2,0.0001,1258.63
hip-nvidia,128,5000,1,2,0.0001,1089.12
hip-nvidia,128,5000,1,2,0.0001,687.345
hip-nvidia,128,5000,1,2,0.0001,617.937
hip-nvidia,128,5000,1,2,0.0001,1224.13
hip-nvidia,128,5000,1,2,0.0001,1126.9
hip-nvidia,128,5000,1,2,0.0001,936.717
hip-nvidia,128,5000,1,2,0.0001,1125.6
hip-nvidia,128,5000,1,2,0.0001,1089.12
hip-nvidia,128,5000,1,2,0.0001,1107.13
hip-nvidia,128,5000,1,2,0.0001,1166.13
hip-nvidia,128,5000,1,2,0.0001,1136.55
hip-nvidia,128,5000,1,2,0.0001,1132.31
hip-nvidia,128,5000,1,2,0.0001,1682.82
hip-nvidia,128,5000,1,2,0.0001,1312.1
hip-nvidia,128,5000,1,2,0.0001,1196.77
hip-nvidia,128,5000,1,2,0.0001,1173.75
hip-nvidia,128,5000,1,2,0.0001,1244.64
hip-nvidia,128,5000,1,2,0.0001,1083.18
hip-nvidia,128,5000,1,2,0.0001,406.314
hip-nvidia,128,5000,1,2,0.0001,815.178
hip-nvidia,128,5000,1,2,0.0001,755.278
hip-nvidia,128,5000,1,2,0.0001,1149.86
hip-nvidia,128,5000,1,2,0.0001,1140.5
hip-nvidia,128,5000,1,2,0.0001,749.395
hip-nvidia,128,5000,1,2,0.0001,757.318
hip-nvidia,128,5000,1,2,0.0001,1695.97
hip-nvidia,128,5000,1,2,0.0001,1106.08
